ingrediente;seccion
aguacate;Frutería y verdulería
ajo;Frutería y verdulería
albahaca;Frutería y verdulería
calabacín;Frutería y verdulería
cebolla;Frutería y verdulería
champiñones;Frutería y verdulería
eneldo;Frutería y verdulería
guisantes;Frutería y verdulería
lechuga;Frutería y verdulería
limón;Frutería y verdulería
patata;Frutería y verdulería
perejil;Frutería y verdulería
pimiento rojo;Frutería y verdulería
pimiento verde;Frutería y verdulería
tomate;Frutería y verdulería
zanahoria;Frutería y verdulería
bacalao;Pescadería y congelados
calamares;Pescadería y congelados
gambas;Pescadería y congelados
gulas;Pescadería y congelados
lomo de salmón;Pescadería y congelados
salmón ahumado;Pescadería y congelados
sepia;Pescadería y congelados
carne picada de pollo;Carnicería
filetes de ternera;Carnicería
lomo de cerdo;Carnicería
pechuga de pavo en lonchas;Carnicería
pechuga de pollo;Carnicería
solomillo de cerdo;Carnicería
huevos;Huevos, lácteos y refrigerados
mozzarella;Huevos, lácteos y refrigerados
nata para cocinar;Huevos, lácteos y refrigerados
queso crema;Huevos, lácteos y refrigerados
queso en lonchas;Huevos, lácteos y refrigerados
queso fresco;Huevos, lácteos y refrigerados
tortilla de patata y calabacín;Huevos, lácteos y refrigerados
pan;Panadería
pan de hamburguesa;Panadería
pan para tostas;Panadería
aceite de oliva;Despensa
arroz;Despensa
atún en conserva;Despensa
azafrán;Despensa
caldo de pescado;Despensa
especias para fajitas;Despensa
garbanzos cocidos;Despensa
guindilla;Despensa
harina;Despensa
judías blancas cocidas;Despensa
lentejas;Despensa
mayonesa;Despensa
patatas paja;Despensa
pimentón;Despensa
pimientos del piquillo;Despensa
salsa de soja;Despensa
tomate frito;Despensa
tomate triturado;Despensa
tortillas de trigo;Despensa
