semana_id;etiqueta;inicio;fin;dia;momento;orden;plato
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;lunes;comida;1;Salmón con verduras
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;lunes;cena;1;Calamares
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;lunes;cena;2;Parrillada de verduras
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;martes;comida;1;Pechugas de pollo a la plancha
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;martes;comida;2;Parrillada de verduras
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;martes;cena;1;Nuggets de pollo conjelados
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;martes;cena;2;Croquetas congeladas
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;miércoles;comida;1;Macarrones con queso y pollo
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;miércoles;cena;1;Puré de verduras con pescado
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;miércoles;cena;2;Gulas salteadas con gambas y ajo
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;jueves;comida;1;Restaurante
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;jueves;cena;1;Brocoli
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;jueves;cena;2;Tiras de lomo salteadas con verduras al wok
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;viernes;comida;1;Lentejas con verduras y pollo
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;viernes;cena;1;Berenjenas rellenas
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;sábado;comida;1;Fajitas marineras
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;sábado;cena;1;Restaurante
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;domingo;comida;1;Restaurante
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;domingo;cena;1;Restaurante
